date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,closing_price
2017-01-08,0.0492,-0.0205,-0.0588,0.0062,0.0068,0.0104,0.0000,-0.0071
2017-01-09,-0.0139,0.0810,0.1034,0.0313,0.0040,-0.0171,0.0000,0.0254
2017-01-10,0.0240,0.0431,-0.0578,0.0055,-0.0242,0.0018,0.0000,-0.0617
2017-01-11,-0.0592,-0.0614,0.0035,0.0069,0.0064,0.0290,0.0000,-0.0201
2017-01-12,-0.0141,0.1187,0.1043,0.0098,0.0161,0.0021,0.0000,0.0042
2017-01-13,0.0038,0.0048,-0.0323,0.0221,-0.0400,-0.0044,0.0000,-0.0035
2017-01-14,-0.0040,-0.1729,-0.0566,0.0052,0.0131,-0.0234,0.0000,0.0095
2017-01-15,0.0087,-0.0070,-0.0158,0.0148,0.0004,0.0000,0.0000,-0.0261
2017-01-16,-0.0264,0.0869,0.0356,-0.0007,-0.0011,0.0063,0.0000,0.0655
2017-01-17,0.0583,0.0286,0.0547,-0.0120,0.0155,0.0208,0.0000,-0.0002
2017-01-18,-0.0004,-0.0359,-0.0596,-0.0064,-0.0142,-0.0145,0.0000,0.0188
2017-01-19,0.0169,-0.0304,-0.0170,0.0659,-0.0085,0.0000,0.0000,0.0207
2017-01-20,0.0249,0.0492,0.1207,-0.0342,0.0064,-0.0031,0.0000,0.0292
2017-01-21,0.0276,-0.0540,-0.1155,0.0277,0.0016,-0.0155,0.0000,-0.0235
2017-01-22,-0.0238,0.0954,0.0089,0.0074,-0.0128,-0.0247,0.0000,0.0088
2017-01-23,0.0080,-0.0286,0.0246,0.0184,0.0067,0.0001,0.0000,-0.0234
2017-01-24,-0.0229,0.0941,0.0507,-0.0127,-0.0083,0.0074,0.0000,-0.0031
2017-01-25,-0.0028,-0.0825,-0.0697,-0.0028,0.0113,0.0014,0.0000,0.0107
2017-01-26,0.0100,0.0130,0.0325,0.0260,0.0067,-0.0045,0.0000,-0.0086
2017-01-27,-0.0083,-0.0038,-0.0344,-0.0062,-0.0013,-0.0166,0.0000,0.0028
2017-01-28,0.0026,-0.0319,0.0129,0.0032,-0.0102,-0.0444,0.0000,-0.0065
2017-01-29,-0.0082,-0.0593,-0.0548,-0.0253,0.0078,-0.0010,0.0000,0.0080
2017-01-30,0.0078,0.0673,0.1026,0.0255,-0.0071,-0.0033,0.0000,0.0120
2017-01-31,0.0110,-0.0379,-0.0821,0.0029,0.0349,0.0000,0.0000,0.0016
2017-02-01,0.0012,0.0204,0.0469,-0.0120,-0.0207,-0.0016,0.0000,0.0098
2017-02-02,0.0005,-0.0187,-0.0004,0.0279,0.0039,-0.1819,0.0000,0.0119
2017-02-03,0.0117,-0.0213,-0.0252,-0.0237,-0.0051,-0.2424,0.0000,0.0401
2017-02-04,0.0368,0.0615,0.0655,0.0178,0.0051,-0.1196,0.0000,-0.0133
2017-02-05,-0.0135,0.0249,-0.0080,0.0491,-0.0129,0.0031,1.0000,0.0082
2017-02-06,0.0074,0.0164,-0.0411,0.0042,0.0070,-0.0158,1.0000,0.0133
2017-02-07,0.0119,0.0964,0.0305,-0.0072,-0.0047,-0.0626,1.0000,-0.0075
2017-02-08,-0.0094,-0.0150,0.0428,0.0187,0.0174,0.0003,1.0000,-0.0360
2017-02-09,-0.0349,-0.0629,-0.0248,0.0017,0.0042,0.0319,1.0000,0.0349
2017-02-10,0.0286,0.0908,-0.0065,0.0285,-0.0202,-0.1122,1.0000,0.0097
2017-02-11,0.0082,-0.1084,-0.0539,0.0020,-0.0093,-0.0243,1.0000,-0.0017
2017-02-12,-0.0026,-0.0267,0.0837,0.0176,0.0194,0.0020,-0.5000,-0.0065
2017-02-13,-0.0064,0.2355,0.0629,0.0103,0.0258,0.0026,-0.5000,0.1497
2017-02-14,0.1387,0.0412,0.0438,0.0115,-0.0169,0.5592,-0.5000,-0.0061
2017-02-15,-0.0131,-0.0511,0.0034,0.0076,0.3986,-0.0180,-0.5000,-0.0099
2017-02-16,-0.0303,-0.1021,-0.0538,-0.0028,-0.2918,-0.0469,-0.5000,-0.0086
2017-02-17,-0.0096,-0.0054,-0.0081,0.0185,-0.0031,0.0039,-0.5000,0.0097
2017-02-18,0.0080,-0.0002,0.0074,0.0111,0.0233,-0.0024,-0.5000,-0.0029
2017-02-19,-0.0033,-0.0237,-0.0545,0.0193,-0.0289,-0.0019,2.0000,-0.0124
2017-02-20,-0.0138,0.0399,0.0768,-0.0011,0.0033,-0.0041,2.0000,0.0087
2017-02-21,0.0068,0.1651,0.0248,0.0292,0.0046,-0.0166,2.0000,-0.0061
2017-02-22,-0.0062,-0.1380,-0.0347,-0.0119,0.0122,0.0026,2.0000,0.0407
2017-02-23,0.0383,-0.0550,-0.0277,0.0031,-0.0045,0.0039,2.0000,-0.0057
2017-02-24,-0.0069,0.1361,0.1007,0.0018,0.0006,0.0012,2.0000,0.0355
2017-02-25,0.0332,-0.0155,-0.0532,0.0238,-0.0077,0.0141,2.0000,0.0743
2017-02-26,0.0677,-0.0287,0.0021,0.0397,0.0085,0.0651,0.3333,0.0681
2017-02-27,0.0363,0.0179,0.0754,0.0061,0.0185,0.0464,0.3333,-0.0002
2017-02-28,-0.0061,0.1450,0.1469,0.0452,0.0167,-0.0032,0.3333,0.1030
2017-03-01,0.0882,-0.0083,0.1117,-0.0365,0.1621,0.1018,0.3333,0.1123
2017-03-02,0.0339,0.1841,0.2393,0.0184,-0.1384,0.0954,0.3333,0.0234
2017-03-03,0.0058,-0.0916,-0.1589,0.0393,-0.0255,-0.0035,0.3333,-0.0494
2017-03-04,-0.0482,-0.0861,-0.1228,-0.0128,-0.0111,0.0502,0.3333,0.0330
2017-03-05,0.0294,-0.0294,-0.0107,0.0479,-0.0129,0.0015,0.0000,0.0223
2017-03-06,0.0162,-0.0002,-0.0006,-0.0011,0.0100,-0.0041,0.0000,-0.0452
2017-03-07,-0.0420,0.0977,-0.0615,-0.0025,-0.0107,0.0302,0.0000,-0.1147
2017-03-08,-0.0974,-0.1151,0.0087,0.0344,0.0124,0.1598,0.0000,0.0672
2017-03-09,0.0539,0.1603,0.1513,0.0051,-0.0113,0.0179,0.0000,0.0777
2017-03-10,0.0677,0.0135,-0.0025,-0.0014,0.1449,0.0191,0.0000,0.1181
2017-03-11,0.1038,-0.0051,-0.0275,0.0206,-0.1125,0.0329,0.0000,0.0827
2017-03-12,0.0707,0.0284,0.0704,0.0012,0.0053,0.0181,0.2500,0.2293
2017-03-13,0.1511,0.2262,0.3199,0.0344,0.0244,0.1695,0.2500,0.0011
2017-03-14,-0.0835,-0.0558,-0.1082,-0.0146,-0.0232,-0.0007,0.2500,0.2134
2017-03-15,0.1634,0.0525,0.0457,0.0281,-0.0035,0.0961,0.2500,0.2914
2017-03-16,0.1530,0.3540,0.3988,0.0097,0.0192,0.1221,0.2500,-0.0145
2017-03-17,-0.0731,-0.0302,-0.0361,0.0470,0.1720,0.0024,0.2500,-0.2694
2017-03-18,-0.2370,-0.1567,-0.1714,0.0158,-0.1735,0.2912,0.2500,0.3443
2017-03-19,0.2905,-0.0592,-0.1229,-0.0404,0.0039,0.1042,-0.2000,-0.0350
2017-03-20,-0.0515,-0.0512,0.0229,0.0649,-0.0084,0.0065,-0.2000,0.0137
2017-03-21,-0.0041,0.0503,0.0227,-0.0173,-0.0037,-0.0015,-0.2000,-0.0283
2017-03-22,-0.0290,-0.0650,-0.0701,0.0188,0.0157,0.0026,-0.2000,0.0471
2017-03-23,0.0308,0.0458,-0.0056,0.0295,-0.0093,-0.0013,-0.2000,0.2283
2017-03-24,0.1787,0.0648,0.1995,0.0010,0.2174,0.0314,-0.2000,-0.0534
2017-03-25,-0.0588,-0.0385,-0.0811,0.0088,-0.1614,0.0128,-0.2000,0.0045
2017-03-26,-0.0097,-0.0576,-0.1034,0.0509,-0.0331,-0.0011,0.0000,-0.0306
2017-03-27,-0.0943,0.1891,0.1992,0.0415,-0.0001,0.0068,0.0000,0.0282
2017-03-28,0.0132,-0.1081,-0.0956,-0.0176,0.0000,-0.0009,0.0000,0.0545
2017-03-29,-0.0236,0.1033,0.0164,0.0304,0.0008,-0.0006,0.0000,-0.0211
2017-03-30,-0.1187,0.0338,0.1723,0.0038,0.0033,0.0026,0.0000,-0.0348
2017-03-31,-0.0433,0.0716,0.1572,0.0243,0.0037,0.0021,0.0000,0.0131
2017-04-01,0.0038,-0.2185,-0.2819,-0.0125,-0.0123,-0.0059,0.0000,-0.0373
2017-04-02,-0.0375,0.1040,0.1023,-0.0013,0.0014,0.0058,-0.2500,-0.0957
2017-04-03,-0.0692,0.1267,0.2108,-0.0460,0.0000,0.0127,-0.2500,0.0025
2017-04-04,-0.0002,-0.1391,-0.1654,0.0574,0.0071,0.0008,-0.2500,0.0252
2017-04-05,0.0148,0.0131,0.0145,0.0328,0.0046,0.0000,-0.2500,-0.0466
2017-04-06,-0.0682,0.0888,0.1144,-0.0081,0.0150,0.0003,-0.2500,-0.0185
2017-04-07,-0.0181,-0.0245,-0.1929,0.0149,-0.0282,-0.0246,-0.2500,0.0517
2017-04-08,0.0460,-0.2230,-0.0904,0.0103,0.0001,-0.0010,-0.2500,-0.0158
2017-04-09,-0.0172,0.0334,-0.0131,-0.0211,-0.0077,-0.0001,-0.3333,0.0015
2017-04-10,-0.0008,0.0125,0.0772,0.0049,0.0167,-0.0085,-0.3333,-0.0018
